zona_id,zona_x,zona_y,area_ha,sin_cambio_px,sin_cambio_ha,sin_cambio_pct,urbanizacion_px,urbanizacion_ha,urbanizacion_pct,perdida_vegetacion_px,perdida_vegetacion_ha,perdida_vegetacion_pct,ganancia_vegetacion_px,ganancia_vegetacion_ha,ganancia_vegetacion_pct,nuevo_cuerpo_agua_px,nuevo_cuerpo_agua_ha,nuevo_cuerpo_agua_pct,perdida_agua_px,perdida_agua_ha,perdida_agua_pct,pixeles_validos,cambio_total_ha,cambio_total_pct,indice_transformacion
Z_01_00,1,0,1.963843042988554e-08,18902,189.02,77.67094017094017,1652,16.52,6.788297172912557,1780,17.8,7.314266929651545,2002,20.02,8.226495726495726,0,0.0,0.0,0,0.0,0.0,24336,54.34,276702357624.80286,14.3
Z_01_01,1,1,1.963843042988554e-08,17648,176.48,72.51808021038791,1326,13.26,5.448717948717949,3439,34.39,14.131328073635766,1923,19.23,7.901873767258382,0,0.0,0.0,0,0.0,0.0,24336,66.88,340556747845.9112,28.419999999999998
Z_01_02,1,2,1.963843042988554e-08,18136,181.36,74.52333990795529,1052,10.52,4.3228139381985535,3050,30.5,12.532873109796187,2094,20.94,8.604536489151874,0,0.0,0.0,4,0.04,0.01643655489809336,24336,61.959999999999994,315503829194.5672,20.079999999999995
Z_01_03,1,3,1.963843042988554e-08,14657,146.57,60.227646285338594,722,7.22,2.9667981591058514,2512,25.12,10.322156476002629,6445,64.45,26.483399079552925,0,0.0,0.0,0,0.0,0.0,24336,96.79,492860161842.19116,-32.11
Z_01_04,1,4,1.963843042988554e-08,12514,125.14,51.42176199868508,2202,22.02,9.048323471400394,4329,43.29,17.78846153846154,5291,52.910000000000004,21.74145299145299,0,0.0,0.0,0,0.0,0.0,24336,118.22,601982935561.358,12.399999999999999
Z_01_05,1,5,1.963843042988554e-08,23646,236.46,97.16469428007889,310,3.1,1.2738330046022355,176,1.76,0.7232084155161078,204,2.04,0.8382642998027613,0,0.0,0.0,0,0.0,0.0,24336,6.9,35135190791.51895,2.8200000000000003
Z_01_06,1,6,1.963843042988554e-08,23303,233.03,95.7552596975674,500,5.0,2.05456936226167,182,1.82,0.7478632478632479,351,3.5100000000000002,1.4423076923076923,0,0.0,0.0,0,0.0,0.0,24336,10.33,52600945054.549385,3.31
Z_01_07,1,7,1.963843042988554e-08,23521,235.21,96.65105193951348,298,2.98,1.2245233399079554,407,4.07,1.6724194608809992,110,1.1,0.4520052596975674,0,0.0,0.0,0,0.0,0.0,24336,8.15,41500261587.08398,5.950000000000001
Z_01_08,1,8,1.963843042988554e-08,19298,192.98000000000002,79.29815910585141,4033,40.33,16.57215647600263,979,9.790000000000001,4.02284681130835,26,0.26,0.10683760683760683,0,0.0,0.0,0,0.0,0.0,24336,50.379999999999995,256537813344.45285,49.86
Z_01_09,1,9,1.963843042988554e-08,23348,233.48000000000002,95.94017094017094,690,6.9,2.8353057199211045,298,2.98,1.2245233399079554,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,24336,9.88,50309519568.14598,9.88
